rank,bot,elo,matches,wins,losses,ties,win_rate,avg_score_delta,search_rate,search_conversion,prime_rate,carpet_rate,avg_carpet_len,avg_time_left
1,UNK:depth=10, eval=-10000.00, best_search_ev,2370.5,129,122,3,4,0.9612,12.21,0.1618,0.6790,0.4209,0.1438,2.43,214.6
2,UNK:MEGAKNIGHT COUNTER | jumps 40 | target (,2186.0,133,130,1,2,0.9850,10.44,0.0517,0.7455,0.4921,0.1660,2.36,55.2
3,UNK:Last intent: Targeting a length-2 carpet,1974.1,44,41,1,2,0.9545,11.86,0.1761,0.6290,0.4443,0.1562,2.39,163.5
4,UNK:t8 The Anti-Builder: Adaptive Cashouts &,1961.5,34,27,4,3,0.8382,10.50,0.0897,0.6639,0.4897,0.1500,2.51,11.4
5,UNK:Turns=40 | Searches=0 (catches=0 misses=,1934.5,49,46,2,1,0.9490,17.63,0.0000,0.0000,0.4403,0.1883,2.50,236.9
6,UNK:minimax_bot turns=40 guesses=2 acc=100%,1913.7,37,31,6,0,0.8378,9.73,0.0500,1.0000,0.4926,0.1622,2.42,19.9
7,UNK:Turns: 40 | Primes: 17 | Carpets: 7 | Ra,1885.3,35,28,7,0,0.8000,7.60,0.1129,0.7089,0.4250,0.1779,2.32,116.1
8,GammaTurbo_v4c,1864.5,211,133,68,10,0.6540,4.27,0.1375,0.6379,0.4338,0.1513,2.36,44.8
9,UNK:rat_catch_points=20, prime_carpet_points,1862.1,37,30,6,1,0.8243,10.49,0.1709,0.7549,0.4209,0.1459,2.34,20.9
10,UNK:Last intent: Priming current cell, advan,1841.4,47,39,5,3,0.8617,9.89,0.1974,0.6192,0.4213,0.1368,2.36,170.8
11,UNK:t9 The Grandmaster: Flawless Timing & Co,1829.5,221,152,60,9,0.7081,6.54,0.0855,0.6273,0.4794,0.1561,2.51,13.7
12,UNK:Turns: 40 | searches chosen: 0 | best po,1828.1,45,35,9,1,0.7889,4.82,0.0000,0.0000,0.3739,0.1550,2.33,194.9
13,UNK:CPP | TT: 0/0 (0%), size=,1814.6,85,63,22,0,0.7412,4.62,0.0671,0.5965,0.5026,0.1600,2.51,29.8
14,Yolanda_v6,1809.4,72,49,19,4,0.7083,6.61,0.1003,0.5848,0.4972,0.1368,2.54,125.8
15,UNK:Barry played 40 turns. searches=2 (hits=,1806.1,54,27,27,0,0.5000,-0.70,0.0500,0.6574,0.4583,0.1708,2.33,37.3
16,UNK:Last intent: Repositioning RIGHT | Last,1791.4,30,25,4,1,0.8500,9.43,0.2025,0.5967,0.4133,0.1417,2.38,159.4
17,UNK:ajaxquant | turns=40, deepest_depth=7, a,1790.4,110,71,36,3,0.6591,5.19,0.1605,0.5963,0.4223,0.1584,2.29,195.5
18,UNK:FastSword ftw,  Rat Pos: 7
ERROR CODE:,1780.7,52,37,15,0,0.7115,9.67,0.1758,0.6099,0.4382,0.1411,2.47,206.9
19,Argghhhh,1773.5,1264,948,287,29,0.7615,8.61,0.1520,0.5665,0.4537,0.1576,2.55,109.7
20,UNK:turns=40, searches=7, avg_depth=4.95, be,1771.9,35,23,11,1,0.6714,5.40,0.1750,0.6163,0.3829,0.1621,2.34,223.7
21,UNK:FastSword ftw,  Rat Pos: 8
ERROR CODE:,1763.5,54,37,17,0,0.6852,7.89,0.2000,0.5810,0.4171,0.1384,2.48,207.5
22,UNK:t7 The Absolute Truth: Zero Mirages, Per,1754.5,60,34,26,0,0.5667,4.42,0.0792,0.6158,0.4792,0.1567,2.45,11.6
23,UNK:Turns=40 | Searches=1 (catches=1 misses=,1751.1,36,27,7,2,0.7778,5.61,0.0250,1.0000,0.4188,0.1972,2.32,236.9
24,UNK:t6 The Grandmaster: Evaluating Spatial S,1744.8,138,86,47,5,0.6413,2.04,0.0576,0.6541,0.4672,0.1643,2.38,10.8
25,UNK:vTitan Compiled. You have already lost,1743.7,30,17,12,1,0.5833,4.03,0.0000,0.0000,0.4717,0.1650,2.48,12.6
26,UNK:Barry played 40 turns. searches=3 (hits=,1739.3,69,45,24,0,0.6522,3.68,0.0750,0.7150,0.4424,0.1714,2.37,41.2
27,UNK:ajaxquantv4 | turns=40, deepest_depth=,1734.1,100,60,38,2,0.6100,3.28,0.1735,0.5908,0.4153,0.1555,2.35,61.8
28,SearchDepthBot,1728.7,245,134,96,15,0.5776,1.12,0.0672,0.6829,0.4696,0.1617,2.39,30.7
29,S_Bot,1728.7,1080,693,350,37,0.6588,2.96,0.0793,0.5476,0.4824,0.1584,2.42,27.1
30,UNK:ajaxv2 | turns=40, deepest_depth=9, avg_,1727.8,322,198,113,11,0.6320,2.79,0.1959,0.5493,0.4084,0.1526,2.28,130.1
31,Yolanda_Prime_v4,1727.6,292,176,108,8,0.6164,3.19,0.2018,0.5342,0.4163,0.1384,2.54,5.8
32,Yolanda_Prime:_Deep_Alpha-Beta,1724.7,317,163,143,11,0.5315,0.30,0.1244,0.5796,0.4414,0.1590,2.44,159.6
33,UNK:Turn 40 | depth: 100 | nodes: 7 | rat: (,1724.1,38,22,15,1,0.5921,0.97,0.1382,0.5857,0.4336,0.1441,2.38,24.2
34,UNK:The Greedy Capitalist,1722.0,59,34,22,3,0.6017,4.92,0.0000,0.0000,0.5266,0.1654,2.45,77.3
35,Yolanda_Prime_v3,1719.2,332,195,130,7,0.5979,3.15,0.2047,0.5434,0.4160,0.1386,2.46,68.9
36,GameIsAfoot,1713.7,375,220,143,12,0.6027,3.34,0.2003,0.5838,0.4128,0.1425,2.44,45.8
37,UNK:The Grandmaster Capitalist,1711.4,101,50,48,3,0.5099,0.75,0.0000,0.0000,0.5062,0.1777,2.36,76.6
38,UNK:Claude: 40 turns, 5 searches (4 hits), m,1710.4,33,22,8,3,0.7121,5.97,0.1250,0.8000,0.4636,0.1098,2.50,109.0
39,UNK:Barry played 40 turns. searches=5 (hits=,1709.0,35,20,14,1,0.5857,4.37,0.1250,0.7143,0.4143,0.1707,2.26,69.5
40,UNK:Turn 40 | depth: 40 | nodes: 4 | rat: (,1708.2,43,20,22,1,0.4767,0.37,0.1599,0.5236,0.4297,0.1477,2.40,69.6
41,UNK:hedge,1702.7,180,93,84,3,0.5250,-0.62,0.1243,0.6112,0.4325,0.1388,2.35,26.2
42,UNK:you win some you lose some,1702.1,58,30,27,1,0.5259,-1.41,0.1349,0.5527,0.4375,0.1543,2.31,136.9
43,UNK:Guesses: 1/1 (100% accuracy) | Moves:,1699.2,45,30,15,0,0.6667,5.42,0.0250,1.0000,0.4644,0.1656,2.38,15.9
44,UNK:Turn 40 | depth: 40 | nodes: 5 | rat: (,1697.1,83,43,38,2,0.5301,0.11,0.1533,0.5521,0.4220,0.1533,2.33,66.6
45,UNK:JackC: native alpha-beta depth 30 nodes,1695.2,347,207,128,12,0.6138,2.55,0.0340,0.5784,0.5047,0.1734,2.46,100.2
46,JSON_Bot,1693.0,1101,607,461,33,0.5663,2.08,0.1345,0.6080,0.4467,0.1316,2.45,65.4
47,Yolanda_v3_HMM,1692.6,654,408,218,28,0.6453,4.88,0.1767,0.5465,0.4409,0.1338,2.45,121.5
48,UNK:Switch modes early: outrun rat-hunters,,1689.9,92,37,51,4,0.4239,-2.16,0.1193,0.6036,0.4120,0.1603,2.17,1.7
49,Excalibur,1689.6,635,371,247,17,0.5976,4.12,0.1501,0.5569,0.4534,0.1522,2.43,162.1
50,AllFutures,1688.6,389,225,154,10,0.5913,2.07,0.1063,0.6616,0.4395,0.1547,2.36,31.7
51,UNK:minimax_bot turns=40 guesses=0 acc=0% ma,1686.7,59,34,23,2,0.5932,6.02,0.0000,0.0000,0.5364,0.1852,2.46,19.5
52,Agent5_MCTS,1685.8,629,342,261,26,0.5644,2.00,0.1081,0.6493,0.4477,0.1636,2.25,44.4
53,UNK:Turn 40 | depth: 100 | nodes: 13 | rat:,1685.5,62,28,31,3,0.4758,0.71,0.1323,0.5518,0.4379,0.1448,2.40,22.1
54,UNK:DanielBotTuned. Turns played: 40. Depth,1685.3,131,72,57,2,0.5573,2.79,0.1492,0.6471,0.3990,0.1494,2.27,1.0
55,UNK:Turn 40 | depth: 100 | nodes: 10 | rat:,1685.2,44,27,15,2,0.6364,3.91,0.1227,0.6343,0.4375,0.1506,2.45,20.9
56,UNK:CarpetAI max rat belief=,1684.0,261,163,83,15,0.6533,6.02,0.1489,0.6061,0.4528,0.1488,2.43,93.4
57,UNK:JackC: native alpha-beta depth 14 nodes,1684.0,45,28,17,0,0.6222,3.09,0.0244,0.7727,0.4706,0.1761,2.40,238.5
58,UNK:Moriarty[default,learned]: turns=40, max,1683.9,303,178,116,9,0.6023,3.89,0.2035,0.5718,0.4204,0.1436,2.42,44.3
59,UNK:Yolanda v4: corridor bonus + search fix,1683.8,63,37,26,0,0.5873,5.27,0.1956,0.5213,0.4020,0.1536,2.35,236.6
60,UNK:╔═══════════════════════════════════════,1682.9,79,50,27,2,0.6456,4.70,0.1342,0.6698,0.4623,0.1114,2.57,20.4
61,UNK:Vengeance Bot: Deep Alpha-Beta + Fast Ve,1680.9,91,45,41,5,0.5220,1.44,0.1588,0.5536,0.4187,0.1580,2.43,191.7
62,UNK:Barry played 40 turns. searches=4 (hits=,1678.2,74,45,28,1,0.6149,4.99,0.1000,0.7230,0.4287,0.1743,2.30,54.2
63,UNK:FastSword ftw,  Rat Pos: 9
ERROR CODE:,1677.2,45,26,18,1,0.5889,5.93,0.2250,0.6000,0.4006,0.1389,2.26,208.5
64,BoxScoreBot,1675.6,662,319,322,21,0.4977,0.10,0.1071,0.6365,0.4140,0.1614,2.30,21.8
65,UNK:Turns: 40 | searches chosen: 1 | best po,1674.0,112,77,33,2,0.6964,3.73,0.0250,0.8214,0.3962,0.1900,2.22,222.3
66,UNK:FastSword ftw,  Rat Pos: 6
ERROR CODE:,1672.9,36,25,10,1,0.7083,7.44,0.1519,0.6019,0.4578,0.1519,2.38,205.6
67,UNK:V8: Contest-aware James with tunable coe,1669.8,336,206,115,15,0.6354,3.25,0.1061,0.6697,0.4553,0.1535,2.38,37.1
68,Kronos,1665.5,385,238,138,9,0.6299,4.12,0.1618,0.6069,0.4281,0.1526,2.41,110.5
69,GammaTurbo_v2,1665.1,159,99,56,4,0.6352,3.47,0.1352,0.6116,0.4505,0.1461,2.36,27.7
70,UNK:AdvancedQSBot: quiescence search + rat p,1664.3,126,64,60,2,0.5159,-0.42,0.2405,0.5668,0.3794,0.1313,2.30,167.9
71,Yolanda_v4_HMM,1664.3,96,49,43,4,0.5312,-0.35,0.1151,0.5837,0.4266,0.1365,2.22,121.6
72,UNK:FastSword ftw,  Rat Pos: 10
ERROR CODE:,1664.0,41,25,15,1,0.6220,5.00,0.2505,0.5415,0.3757,0.1411,2.37,208.5
73,AgentBot,1663.7,842,449,364,29,0.5505,1.76,0.0608,0.6595,0.4737,0.1638,2.40,63.3
74,UNK:Average Depth:,1660.4,171,91,74,6,0.5497,3.20,0.0803,0.7286,0.4395,0.1683,2.25,13.7
75,UNK:Contest the rat, cash out on time, and s,1659.9,228,113,105,10,0.5175,1.17,0.1109,0.6113,0.4309,0.1573,2.28,2.1
76,UNK:I am tracking the rat using binomial man,1658.3,323,193,126,4,0.6037,3.82,0.1368,0.6061,0.4332,0.1584,2.41,92.3
77,UNK:Uncapped Iterative Deepening & Perfect R,1655.6,36,23,12,1,0.6528,3.31,0.0312,0.6444,0.4819,0.1729,2.38,3.4
78,UNK:Watson[balanced]: turns=40, max_depth=,1653.9,72,37,31,4,0.5417,0.07,0.1715,0.5526,0.4361,0.1389,2.31,40.3
79,UNK:Turns: 40 | Primes: 18 | Carpets: 7 | Ra,1653.1,30,20,10,0,0.6667,4.90,0.1117,0.6716,0.4500,0.1775,2.34,118.0
80,UNK:I know exactly how you evaluate the boar,1650.9,102,54,47,1,0.5343,1.85,0.1375,0.6292,0.3961,0.1525,2.28,86.8
81,UNK:MEGAKNIGHT DEPLOYED | Jumps: 40 | Smash,1649.9,33,20,13,0,0.6061,3.39,0.0364,0.5208,0.4765,0.1545,2.31,14.1
82,UNK:v31 Meta-Exploiter Online. Complexity ch,1646.2,58,24,32,2,0.4310,-2.71,0.1198,0.6475,0.4233,0.1332,2.45,20.2
83,UNK:turns=40, searches=3, hits=3, misses=0,,1644.4,32,18,14,0,0.5625,1.50,0.0750,1.0000,0.4133,0.1680,2.29,236.0
84,UNK:Yolanda v9: endgame EV gate + HMM negati,1640.1,50,29,18,3,0.6100,6.12,0.1420,0.6831,0.4000,0.1655,2.25,236.7
85,UNK:Turn 40 | depth: 100 | nodes: 6 | rat: (,1637.5,61,32,29,0,0.5246,0.95,0.1258,0.5961,0.4463,0.1484,2.39,23.2
86,UNK:ApexBot online. Tracking, planning, adap,1637.4,80,41,37,2,0.5250,-3.06,0.1247,0.5990,0.4084,0.1325,2.30,44.6
87,UNK:Turn 40 | depth: 100 | nodes: 14 | rat:,1636.6,49,26,20,3,0.5612,0.53,0.1265,0.5968,0.4311,0.1536,2.34,21.6
88,GammaTurbo_v3,1636.3,105,56,47,2,0.5429,2.31,0.1333,0.6375,0.4348,0.1521,2.29,27.5
89,UNK:Yolanda v12 | Deny=-1.5 + NoPanicSearch,1634.6,37,21,15,1,0.5811,2.43,0.1628,0.5892,0.4446,0.1264,2.42,125.6
90,UNK:Turn 40 | depth: 100 | nodes: 9 | rat: (,1633.8,33,18,15,0,0.5455,1.88,0.1288,0.6118,0.4326,0.1417,2.38,21.1
91,UNK:v34 Apex Proactive Engine Online. LMR de,1632.9,93,49,38,6,0.5591,2.98,0.1124,0.6507,0.4465,0.1312,2.57,18.7
92,LolEz,1632.8,799,489,289,21,0.6252,4.46,0.1396,0.4967,0.4523,0.1598,2.44,98.5
93,UNK:Primer depth 5, nodes 20, tt_hits 0, sea,1628.5,31,17,13,1,0.5645,0.74,0.1750,0.5668,0.3476,0.1806,2.24,236.8
94,UNK:winner1: HMM + PVS/TT negamax | max_dept,1626.8,211,115,91,5,0.5569,2.46,0.1140,0.6601,0.4836,0.1180,2.55,96.8
95,Yolanda_DebugLog,1625.9,744,341,380,23,0.4738,-1.53,0.1466,0.5849,0.4268,0.1185,2.43,18.5
96,UNK:Yolanda v7 | HMM + ID-Negamax + Aggressi,1624.0,38,22,16,0,0.5789,2.50,0.1632,0.5323,0.4500,0.1270,2.45,124.4
97,NashV3,1622.2,598,335,241,22,0.5786,2.81,0.0538,0.7003,0.4732,0.1653,2.38,40.5
98,AvgSearchP_Bot,1622.0,673,340,317,16,0.5171,-0.75,0.0822,0.6256,0.4507,0.1498,2.30,48.8
99,UNK:Turns: 40 | Primes: 20 | Carpets: 6 | Ra,1620.9,30,17,13,0,0.5667,4.30,0.0867,0.6442,0.5000,0.1517,2.52,102.4
